threshold,precision,recall,f1
0.1,0.38015166501813386,0.98941647597254,0.5492655815799921
0.15,0.4103867129400099,0.9470823798627003,0.572639225181598
0.2,0.44351286059400313,0.8927345537757437,0.5926136903066552
0.25,0.48105436573311366,0.8352402745995423,0.6104955049132343
0.3,0.5144453004622496,0.7640160183066361,0.6148710865561694
0.35,0.5508571428571428,0.6893592677345538,0.6123745394486089
0.4,0.5820976004313831,0.6175629290617849,0.5993060374739764
0.45,0.6211323238973009,0.5397597254004577,0.5775941230486685
0.5,0.6556584776480064,0.465675057208238,0.5445726710152199
0.55,0.6881881881881882,0.3933066361556064,0.5005460502366218
0.6,0.7203335471456062,0.3212242562929062,0.44431256181998025
0.65,0.7432784041630529,0.24513729977116705,0.3686814368681437
0.7,0.7909199522102748,0.18935926773455378,0.3055619663051004
0.75,0.8143939393939394,0.12299771167048056,0.21371769383697814
0.8,0.8424657534246576,0.07036613272311212,0.12988384371700107
0.85,0.8849557522123894,0.028604118993135013,0.05541701302299806
0.9,0.8333333333333334,0.0014302059496567505,0.0028555111364934323
