threshold,precision,recall,f1
0.1,0.3661883314130093,1.0,0.5360729893429426
0.15,0.36651963873135895,0.9982837528604119,0.5361806729144262
0.2,0.3690107779319176,0.9891304347826086,0.5374990285225771
0.25,0.37827374174447737,0.950228832951945,0.5411304772764294
0.3,0.3967767714437933,0.852116704805492,0.5414394765539804
0.35,0.4226105563480742,0.6779176201372997,0.5206502636203867
0.4,0.4556778679026651,0.44994279176201374,0.4527921704087507
0.45,0.473421926910299,0.24456521739130435,0.3225198038476047
0.5,0.5185694635488308,0.10783752860411899,0.17854605730523324
0.55,0.5806451612903226,0.041189931350114416,0.07692307692307693
0.6,0.6029411764705882,0.011727688787185355,0.023007856341189674
0.65,0.7142857142857143,0.004290617848970252,0.008529997156667614
0.7,0.9090909090909091,0.002860411899313501,0.00570287995437696
0.75,1.0,0.002288329519450801,0.0045662100456621
0.8,1.0,0.0014302059496567505,0.0028563267637817767
0.85,1.0,0.0002860411899313501,0.0005719187875321705
0.9,0.0,0.0,0.0
