threshold,precision,recall,f1
0.1,0.38635596082404594,0.9816933638443935,0.5544874384037483
0.15,0.4148989898989899,0.9399313501144165,0.5756832515767344
0.2,0.44750902527075814,0.886441647597254,0.5947605795988868
0.25,0.48151246444704704,0.8232265446224256,0.6076216615644463
0.3,0.5122711336190106,0.7522883295194508,0.6095017381228274
0.35,0.5474885844748858,0.6859267734553776,0.6089385474860335
0.4,0.5759612799139554,0.6127002288329519,0.5937629937629938
0.45,0.6172436316133246,0.5406178489702517,0.576395242451967
0.5,0.6502994011976048,0.46596109839816935,0.5429095150808199
0.55,0.680119581464873,0.3904462242562929,0.4960930401599128
0.6,0.7172236503856041,0.31922196796338675,0.4418052256532066
0.65,0.7470588235294118,0.2542906178489702,0.3794280836534358
0.7,0.779601406799531,0.19021739130434784,0.3058174292940906
0.75,0.8134715025906736,0.1347254004576659,0.23116564417177915
0.8,0.8441176470588235,0.08209382151029748,0.14963503649635038
0.85,0.8514285714285714,0.04262013729977117,0.08117679106510488
0.9,0.8928571428571429,0.014302059496567507,0.028153153153153154
