threshold,precision,recall,f1
0.1,0.3843400447427293,0.982837528604119,0.5525892569958186
0.15,0.4134470647265429,0.9427917620137299,0.5748168817579351
0.2,0.4457831325301205,0.8890160183066361,0.5938097057699656
0.25,0.48112261944537255,0.8237986270022883,0.6074667791605146
0.3,0.5132829164242777,0.7571510297482837,0.6118109326245232
0.35,0.5444368288782271,0.6816361556064073,0.6053600914517973
0.4,0.5760043431053203,0.6069794050343249,0.5910863509749303
0.45,0.6079452946922826,0.5340389016018307,0.5686005786508299
0.5,0.6437425029988004,0.4605263157894737,0.5369351342337836
0.55,0.6841309823677582,0.38844393592677345,0.4955300127713921
0.6,0.7162249515190692,0.3169336384439359,0.4394209795756494
0.65,0.7465870307167235,0.25028604118993136,0.3748928877463582
0.7,0.7795180722891566,0.18506864988558352,0.2991215903837263
0.75,0.8131868131868132,0.12700228832951946,0.21969322117763485
0.8,0.8419452887537994,0.07923340961098398,0.14483660130718953
0.85,0.838150289017341,0.041475972540045765,0.07904061052057781
0.9,0.8823529411764706,0.012871853546910755,0.025373555117000283
