feature,importance
sleep_efficiency_lag1,14.078878124937672
sleep_efficiency_lag2,13.27049945453671
sleep_efficiency_lag3,13.083150601848772
dur_spt_wake_IN_min_lag1,3.9075840178339987
window_number,2.7601193145498906
dur_spt_min_lag2,2.354756354617677
dur_spt_sleep_min_lag3,2.2396045750014695
dur_spt_wake_IN_min_lag2,1.5129929046857586
dur_spt_sleep_min_lag2,1.4639173427516288
dur_spt_min_lag1,1.3486976477253083
dur_spt_min_lag3,1.305268499524381
nonwear_perc_spt_lag2,1.2795565612874127
dur_spt_wake_IN_min_lag3,1.275656041427637
dur_spt_sleep_min_lag1,1.2514752344707927
dur_spt_wake_LIG_min_lag1,1.185094892352982
nonwear_perc_day_spt_lag1,1.1723246262819043
nonwear_perc_spt_lag1,1.1625385755086792
L5VALUE_lag1,1.120219224742293
night_number,1.0690840369428494
nonwear_perc_spt_lag3,1.0256773513925665
L10TIME_num_lag1,1.0175193104634612
L10VALUE_lag1,0.9572978710009924
M10TIME_num_lag1,0.9533654316298938
M5VALUE_lag2,0.9446336750650933
M10TIME_num_lag3,0.9123796146644687
L5TIME_num_lag3,0.8920952854239129
wakeup_lag1,0.8429305370754334
L5VALUE_lag2,0.8421225155839984
L10VALUE_lag3,0.8318018593017319
M5TIME_num_lag1,0.8227821496564893
L5VALUE_lag3,0.8217650411572303
dur_day_min_lag3,0.798160758350392
M5TIME_num_lag3,0.7721247294549747
sleeponset_lag2,0.744584061309754
L10TIME_num_lag2,0.7143436059366981
dur_day_spt_min_lag3,0.7120648747706769
L5TIME_num_lag1,0.7073510561452317
excluded_lag1,0.6970100495105815
L10TIME_num_lag3,0.6963276913512876
dur_day_min_lag1,0.6649416035074888
dayofweek,0.6602466042953499
L5TIME_num_lag2,0.6537173497546995
ACC_spt_sleep_mg_lag1,0.6406310528010132
dur_day_spt_min_lag2,0.6147254227945125
nonwear_perc_day_spt_lag3,0.5956094689218834
M10VALUE_lag3,0.5830732414124759
wakeup_lag2,0.572915322276467
nonwear_perc_day_spt_lag2,0.5561847511426199
sleeponset_lag3,0.5497663218669888
weekday,0.5413174281320087
M10VALUE_lag2,0.5219413657727441
nonwear_perc_day_lag1,0.5046048228343377
M10TIME_num_lag2,0.5037875678937354
ACC_spt_sleep_mg_lag2,0.5036435209684166
dur_spt_wake_MOD_min_lag3,0.5012656693076252
dur_day_spt_min_lag1,0.4969532918029133
M5VALUE_lag1,0.47477919994939854
M5TIME_num_lag2,0.47235747243159076
dur_spt_wake_LIG_min_lag2,0.46999035044977544
M5VALUE_lag3,0.4362027586813227
sleeponset_lag1,0.43084605204813464
dur_day_min_lag2,0.4214329230658437
dur_spt_wake_LIG_min_lag3,0.4192116092796953
ACC_spt_sleep_mg_lag3,0.40837326977805194
L10VALUE_lag2,0.40334290592603544
dur_spt_wake_MOD_min_lag1,0.3982487447141035
wakeup_lag3,0.3802034572107322
nonwear_perc_day_lag2,0.3580107641350508
nonwear_perc_day_lag3,0.34747016267634406
M10VALUE_lag1,0.33895416248499055
excluded_lag3,0.2741347767025671
dayofyear,0.2658239354632547
day,0.24671821228330323
excluded_lag2,0.10128596849876716
dur_spt_wake_MOD_min_lag2,0.096078958048229
dur_spt_wake_VIG_min_lag2,0.03045654949731081
dur_spt_wake_VIG_min_lag1,0.011781317518328284
dur_spt_wake_VIG_min_lag3,0.0012161433991886787
month,0.0
