threshold,precision,recall,f1
0.1,0.37728658536585363,0.9911327231121282,0.5465299684542587
0.15,0.4038856039580065,0.9573798627002288,0.5681065942459476
0.2,0.4360985004814968,0.9067505720823799,0.5889456572224803
0.25,0.4727330881177035,0.8455377574370709,0.6064211714021951
0.3,0.5105382009785472,0.7760297482837528,0.6158910329171396
0.35,0.545983441485791,0.6979405034324943,0.6126804770872567
0.4,0.5842119491754528,0.6181350114416476,0.6006949270326616
0.45,0.6199866310160428,0.5306064073226545,0.5718249075215783
0.5,0.6603614964270702,0.449370709382151,0.5348085106382978
0.55,0.7061688311688312,0.3732837528604119,0.4883982035928144
0.6,0.7301013024602026,0.28861556064073224,0.4136941369413694
0.65,0.7661050545094152,0.22110983981693363,0.34317425083240843
0.7,0.8029197080291971,0.15732265446224256,0.2630949533604401
0.75,0.8402948402948403,0.09782608695652174,0.17524980784012298
0.8,0.8625592417061612,0.05205949656750572,0.09819260857836526
0.85,0.8860759493670886,0.02002288329519451,0.039160839160839164
0.9,1.0,0.0011441647597254005,0.002285714285714286
