threshold,precision,recall,f1
0.25,0.47000199322304165,0.8469827586206896,0.6045378797590053
0.3,0.5098406747891284,0.7816091954022989,0.6171298922291548
0.35,0.5451505016722408,0.7025862068965517,0.6139359698681732
0.4,0.5811623246492986,0.625,0.6022845275181724
0.45,0.6143273635985006,0.5298132183908046,0.5689488910318226
0.5,0.6587260486794407,0.45689655172413796,0.5395546129374337
0.55,0.6931216931216931,0.3764367816091954,0.48789571694599626
0.6,0.7199654278305964,0.29920977011494254,0.4227353463587922
0.65,0.7416378316032295,0.2309626436781609,0.35223226513284034
0.7,0.7624113475177305,0.15445402298850575,0.25686977299880526
0.75,0.7976539589442815,0.09770114942528736,0.17408
0.8,0.8089887640449438,0.05172413793103448,0.09723160027008777
0.85,0.8840579710144928,0.021910919540229886,0.04276200490711532
0.9,1.0,0.0035919540229885057,0.0071581961345740875
