depth,learning_rate,l2_leaf_reg,iterations,best_iteration,valid_roc_auc,best_threshold,valid_precision,valid_recall,valid_f1
4,0.1,7,400,150,0.7463946954834461,0.3,0.5098406747891284,0.7816091954022989,0.6171298922291548
6,0.05,5,600,263,0.7469162597376561,0.3,0.5109747462827472,0.7776580459770115,0.6167212647770973
4,0.05,5,600,295,0.7473315421296826,0.3,0.5102377029889386,0.7787356321839081,0.6165221100526092
6,0.1,7,400,88,0.7480577642293885,0.3,0.5076923076923077,0.7823275862068966,0.6157760814249363
4,0.03,3,600,575,0.7483798915015084,0.3,0.5095541401273885,0.7758620689655172,0.615121742844938
8,0.1,9,400,48,0.7441868669330203,0.3,0.5036663611365719,0.7895114942528736,0.6149972020145495
6,0.03,3,800,414,0.7473649556554779,0.3,0.5087058823529412,0.7765804597701149,0.6147284617571794
8,0.05,7,600,111,0.7458714158026883,0.3,0.504966504966505,0.7852011494252874,0.6146492337972727
8,0.03,5,800,250,0.7467412116460458,0.3,0.5066511085180864,0.7798132183908046,0.6142311500919507
