iter	Logloss
0	0.6895014181
1	0.6862041106
2	0.6832230054
3	0.6805096311
4	0.6778326137
5	0.6755595757
6	0.6735395849
7	0.6716641548
8	0.6699311617
9	0.6683420655
10	0.666934883
11	0.6656600211
12	0.6644095043
13	0.6631884554
14	0.6621279812
15	0.6611851272
16	0.6602696385
17	0.6594084542
18	0.6585899695
19	0.6578327642
20	0.6570898692
21	0.6563179862
22	0.6557795695
23	0.6551759192
24	0.6546594712
25	0.6541775522
26	0.6536589481
27	0.6532738438
28	0.6528818582
29	0.6524488333
30	0.6520189829
31	0.6516366624
32	0.6512222748
33	0.6509252266
34	0.6505984478
35	0.650246424
36	0.6499175837
37	0.6495473565
38	0.6491855178
39	0.6489315709
40	0.6486368708
41	0.6483338634
42	0.6480246942
43	0.6478384747
44	0.647550412
45	0.6473708564
46	0.6471174603
47	0.6468099202
48	0.6465506095
49	0.6463158092
50	0.6459740456
51	0.6456939104
52	0.6454412295
53	0.6451767726
54	0.6450049436
55	0.6447877263
56	0.6445283695
57	0.6443238117
58	0.6440863921
59	0.6439125139
60	0.6437334853
61	0.6434660067
62	0.6432198479
63	0.643044058
64	0.642815278
65	0.6426316205
66	0.6424219042
67	0.6421954097
68	0.6420431087
69	0.6418990482
70	0.6416880932
71	0.6415101537
72	0.641330308
73	0.6411740623
74	0.6409677223
75	0.6407649697
76	0.6405529298
77	0.6403971108
78	0.6402169333
79	0.6400585589
80	0.639921502
81	0.6397691636
82	0.6396358757
83	0.6394452076
84	0.6392777865
85	0.6391330236
86	0.6389424993
87	0.638807086
88	0.6386604838
89	0.6385233394
90	0.6383947226
91	0.6382198015
92	0.6380778388
93	0.6379255462
94	0.637756867
95	0.6376187948
96	0.637438167
97	0.6372871327
98	0.6371629881
99	0.6370269726
100	0.6368863127
101	0.6367164574
102	0.6365607839
103	0.6363824011
104	0.6362421694
105	0.636123178
106	0.6359326348
107	0.6358278818
108	0.6356900384
109	0.6355098652
110	0.6353761281
111	0.635237033
112	0.6350961558
113	0.6349526773
114	0.6347980918
115	0.6346592524
116	0.6345214621
117	0.6343676952
118	0.6342750645
119	0.6341710132
120	0.6340666154
121	0.6339168337
122	0.6337884327
123	0.6336006364
124	0.6335110916
125	0.6334086821
126	0.6332550281
127	0.6331529461
128	0.6330540656
129	0.6329572468
130	0.6328478608
131	0.6327412499
132	0.6325861033
133	0.6324636317
134	0.632372731
135	0.6322573295
136	0.6321410849
137	0.632008754
138	0.6318533459
139	0.6317186324
140	0.6316164633
141	0.6315173876
142	0.6313825093
143	0.6312503158
144	0.6310942588
145	0.6309408735
146	0.6307887163
147	0.6306675039
148	0.6305315143
149	0.6303926392
150	0.6302437
151	0.6301148703
152	0.6300025555
153	0.6299111575
154	0.6297948165
155	0.6296831419
156	0.6295343126
157	0.6294194092
158	0.6292773305
159	0.6291854752
160	0.629066041
161	0.6289387642
162	0.6288571952
163	0.6287745036
164	0.6286914531
165	0.6285445898
166	0.6284414804
167	0.6283224137
168	0.6281996677
169	0.6281028566
170	0.6279959474
171	0.6279273655
172	0.6278014079
173	0.6276821313
174	0.6275537461
175	0.6274514234
176	0.627347964
177	0.6271969145
178	0.6270976548
179	0.6269843138
180	0.6268592918
181	0.626731426
182	0.6265739633
183	0.6264933061
184	0.6263478696
185	0.6262102785
186	0.6260918646
187	0.6259668421
188	0.6257898625
189	0.6256667657
190	0.6255496577
191	0.6253878096
192	0.6252651646
193	0.6251331926
194	0.6249770804
195	0.6248226739
196	0.6246784076
197	0.6245511793
198	0.6244480984
199	0.6243183455
200	0.6241781008
201	0.6241011632
202	0.6239408242
203	0.6238083943
204	0.6237087521
205	0.6235817197
206	0.6234555534
207	0.6233048026
208	0.6231500901
209	0.6229799509
210	0.6228929036
211	0.6227867963
212	0.6226308726
