iter	Logloss
213	0.6225163144
214	0.6223916619
215	0.6222270638
216	0.6220900605
217	0.6219524013
218	0.6217872775
219	0.6216743666
220	0.6215284773
221	0.6213847361
222	0.6212890218
223	0.6211163113
224	0.6209720212
225	0.6207911428
226	0.6206547087
227	0.6205093778
228	0.6203561428
229	0.6202049525
230	0.6200478785
231	0.6198995941
232	0.6197534451
233	0.6196021112
234	0.6194649621
235	0.6193051827
236	0.6191555428
237	0.6190070614
238	0.618850551
239	0.6186979689
240	0.6185750829
241	0.6184464483
242	0.6183370781
243	0.618188183
244	0.6180506027
245	0.6179252561
246	0.6177386641
247	0.6175644531
248	0.6174415667
249	0.6173057504
250	0.6171594713
251	0.6169898765
252	0.6168549479
253	0.6167176373
254	0.616609856
255	0.6164443837
256	0.6162671474
257	0.6161355777
258	0.6160181945
259	0.6158383962
260	0.6157193433
261	0.6155920555
262	0.6154166254
263	0.6152275608
264	0.6150965895
265	0.6149282408
266	0.6147636271
267	0.6146078211
268	0.6144581576
269	0.6142645653
270	0.6141047171
271	0.613961065
272	0.613861878
273	0.6137000141
274	0.6135573508
275	0.6134005291
276	0.6132519499
277	0.6130795857
278	0.6129231737
279	0.6127802926
280	0.6126112973
281	0.6124452925
282	0.6122933511
283	0.6121801599
284	0.6120331537
285	0.6118759908
286	0.611713082
287	0.6115301437
288	0.6113770223
289	0.6112227467
290	0.6110454187
291	0.6109116517
292	0.6107743415
293	0.6106537502
294	0.6105207251
295	0.6103734219
296	0.6102380271
297	0.6100903611
298	0.6099288127
299	0.609760623
300	0.6095836846
301	0.609466402
302	0.6093237151
303	0.6091671094
304	0.6090375951
305	0.6088664773
306	0.6087354868
307	0.6085798716
308	0.6084199744
309	0.6082478127
310	0.6080893733
311	0.607943283
312	0.6077847682
313	0.6076601227
314	0.6075056591
315	0.6073247795
316	0.6071657828
317	0.6070130811
318	0.6068873507
319	0.6067536449
320	0.6066155456
321	0.6065250502
322	0.6064379494
323	0.6063266497
324	0.6061831422
325	0.606046543
326	0.6058904944
327	0.6057238028
328	0.605559116
329	0.6053848497
330	0.6052314891
331	0.6050707846
332	0.6049377812
333	0.6048306636
334	0.604655607
335	0.6044739224
336	0.6043283446
337	0.6041839474
338	0.6040267121
339	0.6038814565
340	0.6037671731
341	0.603671935
342	0.6035172736
343	0.6033626359
344	0.6031778151
345	0.6030335244
346	0.6028839906
347	0.602754632
348	0.6025969323
349	0.6024590238
350	0.6023149803
351	0.6021813378
352	0.6020515802
353	0.6019508023
354	0.6017711937
355	0.6016779085
356	0.6015460086
357	0.6014164973
358	0.6012486361
359	0.6011104739
360	0.6009527094
361	0.6007812294
362	0.6006442976
363	0.6005073305
364	0.6003791023
365	0.6002509829
366	0.6000861112
367	0.5999377296
368	0.5998062905
369	0.5996658322
370	0.5995251534
371	0.5993868367
372	0.5992687533
373	0.5991307084
374	0.598986021
375	0.5988322397
376	0.5986811382
377	0.5985594599
378	0.5984102926
379	0.598258496
380	0.5981260669
381	0.5979770797
382	0.5978535918
383	0.5977485898
384	0.5976809436
385	0.5975690214
386	0.5974303101
387	0.5972615075
388	0.5971151278
389	0.5969991705
390	0.5968239765
391	0.5966787295
392	0.5965507752
393	0.5964232006
394	0.596252975
395	0.596136317
396	0.5960150635
397	0.5958899908
398	0.5957488169
399	0.5955950425
400	0.5954426747
401	0.5953513443
402	0.5952273011
403	0.5950878979
404	0.5949740899
405	0.5948734716
406	0.5947159278
407	0.5945983308
408	0.5944554108
409	0.5943565358
410	0.5942218938
411	0.5941055869
412	0.5939812725
413	0.5938445118
414	0.5937478084
415	0.5935795837
416	0.5934476264
417	0.5933407419
418	0.593227165
419	0.593137822
420	0.5930010328
421	0.5928733813
422	0.5927755267
423	0.5926490268
424	0.5925120425
425	0.592428387
426	0.5923030813
427	0.5922343808
428	0.5921125936
429	0.5919882378
430	0.5918246367
431	0.5917013254
432	0.59159567
433	0.5914605109
434	0.5913576737
435	0.5912296044
436	0.5910910883
437	0.5909815278
438	0.5908732666
439	0.5907680099
440	0.5906749306
441	0.5905630178
442	0.5904349276
443	0.590317713
444	0.5902322197
445	0.5901067756
446	0.5899690792
447	0.5898566285
448	0.5897622583
449	0.5896625194
450	0.5895381842
451	0.589430417
452	0.58929579
453	0.5891836296
454	0.5890650854
455	0.5889086436
456	0.5887553809
457	0.5886250949
458	0.5884905583
459	0.5883691912
460	0.5881897728
461	0.5880599243
462	0.5879450659
463	0.5878357132
464	0.587751859
465	0.5875914895
466	0.587494986
467	0.5873623968
468	0.5872536682
469	0.5871432395
470	0.5870369746
471	0.5869194177
472	0.5867814579
473	0.5867041379
474	0.5865745615
475	0.586403163
476	0.5862743165
477	0.5861412708
478	0.5860255868
479	0.5859327777
480	0.585794193
481	0.5856755865
482	0.5855602582
483	0.5854320303
484	0.5853299516
485	0.5852610647
486	0.5851724613
487	0.5850357659
488	0.5849387359
489	0.5848318125
490	0.5847306817
491	0.5845813984
492	0.5844755385
493	0.5843471604
494	0.5842071426
495	0.5840729039
496	0.5839297094
497	0.5838583564
498	0.5837681377
499	0.5836544009
